State,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
USA.AL,US,Industry,CH4,0.112098576,0.111592743,0.121682289,0.116355689,0.145878144,0.152723868,0.145186469,0.152786156,0.151447878,0.155944744,0.156677349,0.129504283,0.128079807,0.122867331,0.143701971,0.138214078,0.148175244,0.141768868,0.130870079,0.103418715,0.113949933,0.12573855,0.129554367,0.140086223,0.134223745,0.128041644,0.126163057,0.126569988,0.1276672
USA.AL,US,Industry,CO2,25.15236728,25.36392403,28.37023322,26.19154364,27.14094847,27.83899054,28.68987078,28.71026813,25.54482389,25.73649259,25.10392554,21.70302036,21.68118617,22.9683104,23.35774378,21.9435377,21.39649208,20.77783919,20.43643269,16.89103246,18.20054851,18.63469053,20.6685422,20.37618221,21.3539245,20.28670901,20.38172915,20.14914406,21.05557159
USA.AL,US,Industry,N2O,0.185929278,0.184829003,0.201759927,0.187909552,0.235437342,0.245697725,0.234492372,0.250413651,0.243675641,0.25061455,0.251706428,0.209277408,0.207197197,0.199587189,0.232627329,0.223785721,0.239180459,0.228659119,0.211598486,0.166819527,0.18344542,0.202196772,0.208365974,0.224603514,0.215231511,0.205337238,0.202247962,0.2025641,0.204045879
USA.AL,US,Land-Use Change and Forestry ,All GHG,-60.77137307,-60.95465078,-60.67610737,-67.05249074,-67.6521137,-66.38609396,-66.75621817,-65.68775527,-65.47599988,-65.31117976,-65.87041707,-66.04815326,-66.81847033,-66.90290165,-67.14948319,-67.58972887,-68.46137748,-68.34053024,-69.04453723,-69.50306194,-69.86897198,-71.54096688,-72.71131401,-72.37232309,-72.67671025,-72.64242209,-73.15828993,-72.85029005,-72.37241357
USA.AL,US,Land-Use Change and Forestry ,CO2,-60.77137307,-60.95465078,-60.67610737,-67.05249074,-67.6521137,-66.38609396,-66.75621817,-65.68775527,-65.47599988,-65.31117976,-65.87041707,-66.04815326,-66.81847033,-66.90290165,-67.14948319,-67.58972887,-68.46137748,-68.34053024,-69.04453723,-69.50306194,-69.86897198,-71.54096688,-72.71131401,-72.37232309,-72.67671025,-72.64242209,-73.15828993,-72.85029005,-72.37241357
USA.AL,US,Residential,All GHG,3.233194046,3.160661046,3.35778076,3.541825188,3.41575304,3.426236758,3.846828045,3.413451227,3.169743732,3.378006075,3.731561916,3.59269954,3.301607518,3.143280833,3.037442069,2.765372205,2.545856519,2.416697016,2.575801895,2.556347102,2.926671986,2.410186091,1.808975562,2.256813131,2.499051582,2.153355744,1.886446577,1.754944763,2.277098866
USA.AL,US,Residential,CH4,0.11945146,0.121148226,0.12934881,0.100330537,0.09445204,0.094396674,0.099430257,0.056870208,0.049704044,0.052346422,0.057064736,0.047526642,0.047051535,0.048404109,0.049209114,0.039535579,0.035744728,0.038144879,0.042355002,0.053981611,0.058331335,0.055302344,0.045674946,0.059278535,0.060495651,0.020501535,0.017142824,0.01489854,0.020016195
USA.AL,US,Residential,CO2,3.093499202,3.018820112,3.206713108,3.42390969,3.304602219,3.315088449,3.729836425,3.345841352,3.110558025,3.314878866,3.662858846,3.535373493,3.245125224,3.085598667,2.978728746,2.71827696,2.503223938,2.371216128,2.525339731,2.492317199,2.857434423,2.344960288,1.755214273,2.187160221,2.427916621,2.128558428,1.865631514,1.736788746,2.25280762
USA.AL,US,Residential,N2O,0.020243384,0.020692709,0.021718842,0.017584962,0.016698782,0.016751635,0.017561364,0.010739667,0.009481663,0.010780788,0.011638333,0.009799405,0.009430758,0.009278057,0.009504209,0.007559667,0.006887853,0.007336009,0.008107162,0.010048292,0.010906228,0.00992346,0.008086343,0.010374375,0.010639309,0.00429578,0.003672239,0.003257477,0.004275051
USA.AL,US,Total excluding LUCF,All GHG,142.4172672,146.3222331,152.4447048,155.9018592,156.1428873,166.2863085,170.8227331,169.3749824,167.4404728,168.5465848,174.377884,164.8681418,168.5026636,170.1049135,172.2891923,172.4213659,175.0700024,177.9388748,172.9148026,151.7449273,164.3517112,158.8166319,151.2010337,149.1927899,151.2141849,146.3315455,139.8337987,135.9084643,138.422585
