GeoName,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States *,485,   Transit and ground passenger transportation,Thousands of dollars,5863000,6160000,6584000,7047000,7386000,7484000,9046000,9893000,9866000,11332000,10966000,12259000,12961000,14400000,16307000,17734000,18604000,20323000,20711000,20165000,21185000,20960000,21959000,15976000
United States *,486,   Pipeline transportation,Thousands of dollars,2477000,5232000,5511000,3279000,10160000,5158000,5448000,5533000,4590000,4923000,6547000,9497000,7543000,12630000,13395000,16049000,18141000,20813000,26761000,28920000,30021000,33098000,30769000,28756000
United States *,"487-488, 492",   Other transportation and support activities,Thousands of dollars,14037000,14394000,11341000,14866000,18140000,20715000,20263000,23740000,28769000,32566000,23971000,28155000,22433000,26462000,27843000,25629000,25922000,25794000,28062000,27579000,26424000,28828000,30979000,37741000
United States *,493,   Warehousing and storage,Thousands of dollars,3328000,6046000,6843000,6267000,5246000,5569000,6470000,7683000,9722000,11666000,9429000,12635000,12119000,11806000,11361000,10961000,10164000,9019000,7913000,8595000,7610000,8254000,10257000,3410000
United States *,51,  Information,Thousands of dollars,194067000,212146000,229495000,186307000,211747000,277978000,289479000,335770000,352059000,354581000,399042000,441383000,425991000,462021000,457810000,445866000,498088000,491106000,533951000,585111000,596725000,624325000,670368000,691152000
United States *,511,   Publishing industries (except Internet),Thousands of dollars,43585000,45449000,66775000,37848000,37438000,64578000,71092000,85342000,95103000,80780000,102322000,99538000,92051000,101688000,104279000,106346000,107620000,105593000,103533000,109954000,115521000,122410000,127294000,138549000
United States *,512,   Motion picture and sound recording industries,Thousands of dollars,19844000,27798000,38706000,31479000,38621000,45414000,41460000,45211000,33110000,36701000,43891000,46661000,49149000,57000000,49734000,45962000,46647000,43715000,46969000,51467000,51985000,43108000,40195000,30846000
United States *,"515, 517",   Broadcasting (except Internet) and telecommunications,Thousands of dollars,121420000,127791000,126359000,134758000,138120000,141766000,148725000,168156000,190359000,195872000,220687000,244748000,230501000,235586000,225614000,228430000,260309000,245669000,274497000,294586000,292052000,303223000,312729000,307669000
United States *,"518, 519","   Data processing, hosting, and other information services",Thousands of dollars,9218000,11109000,-2345000,-17779000,-2431000,26221000,28201000,37062000,33487000,41228000,32142000,50436000,54290000,67747000,78183000,65129000,83511000,96130000,108952000,129104000,137167000,155585000,190149000,214088000
United States *,"52, 53","  Finance, insurance, real estate, rental, and leasing",Thousands of dollars,1091532000,1144172000,1232404000,1322505000,1434328000,1498155000,1554347000,1593877000,1756323000,1820929000,1886632000,1834004000,1981519000,2042428000,2093175000,2267200000,2314620000,2445260000,2539525000,2672551000,2742599000,2908405000,3047192000,3136545000
United States *,52,   Finance and insurance,Thousands of dollars,235299000,259736000,269543000,302305000,326563000,337129000,353843000,343417000,408281000,431033000,381922000,231638000,389371000,388993000,382042000,497178000,467241000,557323000,605402000,674459000,666644000,733001000,766936000,809789000
United States *,521-522,"    Monetary Authorities- central bank, credit intermediation, and related services",Thousands of dollars,115389000,134933000,162714000,176941000,174979000,208726000,211654000,178231000,204329000,207918000,182019000,200453000,208278000,216410000,247246000,292926000,273042000,321134000,327802000,350685000,358822000,399749000,412407000,444058000
United States *,523,"    Securities, commodity contracts, and other financial investments and related activities",Thousands of dollars,26297000,13193000,-242000,-13831000,33353000,24503000,14647000,7583000,27609000,35929000,-15346000,-122457000,10758000,-459000,-34246000,24659000,41996000,-551000,-1507000,33475000,40354000,51222000,62471000,65139000
United States *,524,    Insurance carriers and related activities,Thousands of dollars,88854000,101136000,92954000,127019000,105042000,88949000,109359000,138754000,155292000,168571000,194378000,132749000,155964000,157859000,157345000,167887000,140954000,217732000,263560000,273926000,247645000,257018000,270263000,279198000
United States *,525,"    Funds, trusts, and other financial vehicles",Thousands of dollars,4760000,10474000,14117000,12175000,13190000,14951000,18183000,18850000,21051000,18616000,20870000,20894000,14371000,15184000,11696000,11705000,11248000,19009000,15547000,16373000,19824000,25012000,21795000,21394000
United States *,53,   Real estate and rental and leasing,Thousands of dollars,856232000,884437000,962861000,1020201000,1107765000,1161026000,1200504000,1250459000,1348042000,1389896000,1504710000,1602366000,1592148000,1653435000,1711133000,1770023000,1847379000,1887936000,1934123000,1998092000,2075954000,2175403000,2280257000,2326756000
United States *,531,    Real estate,Thousands of dollars,776743000,800417000,867243000,918989000,994205000,1049902000,1093580000,1149311000,1244695000,1264607000,1385576000,1468477000,1470976000,1534844000,1591417000,1643230000,1712458000,1748556000,1781209000,1831811000,1904672000,1992723000,2076299000,2142573000
United States *,532-533,    Rental and leasing services and lessors of nonfinancial intangible assets,Thousands of dollars,79489000,84020000,95618000,101212000,113559000,111124000,106924000,101148000,103347000,125289000,119134000,133889000,121172000,118591000,119716000,126792000,134921000,139380000,152914000,166282000,171282000,182680000,203958000,184183000
United States *,"54, 55, 56",  Professional and business services,Thousands of dollars,227872000,226970000,248791000,248881000,276440000,312249000,337120000,361572000,379558000,393202000,430244000,500521000,481426000,510371000,529482000,545116000,539450000,553948000,572073000,594081000,618743000,656634000,684595000,697896000
United States *,54,"   Professional, scientific, and technical services",Thousands of dollars,162525000,163762000,178318000,174618000,193790000,227584000,238900000,255784000,260876000,272829000,295344000,359215000,338892000,358807000,374983000,387925000,378513000,387179000,404779000,419489000,429748000,459328000,471678000,475232000
United States *,5411,    Legal services,Thousands of dollars,39942000,43477000,46882000,48895000,53869000,56041000,61096000,67857000,70635000,76286000,86196000,111655000,94117000,87590000,94276000,91158000,88851000,92579000,99971000,109357000,110314000,113820000,120215000,128547000
United States *,5415,    Computer systems design and related services,Thousands of dollars,9533000,8452000,6826000,-3101000,3134000,8304000,15501000,15860000,17458000,18345000,23012000,28049000,37775000,42512000,48288000,55487000,52757000,46752000,44295000,52292000,51387000,60351000,53864000,43627000
United States *,"5412-5414, 5416-5419","    Miscellaneous professional, scientific, and technical services",Thousands of dollars,113050000,111833000,124611000,128825000,136787000,163240000,162303000,172066000,172783000,178198000,186136000,219511000,207000000,228705000,232419000,241280000,236905000,247848000,260513000,257840000,268048000,285156000,297600000,303057000
United States *,55,   Management of companies and enterprises,Thousands of dollars,14541000,15199000,16417000,17641000,18117000,18988000,20159000,21068000,21865000,22414000,23515000,26084000,28746000,29915000,31816000,34355000,36249000,37118000,37122000,37587000,39110000,40898000,42770000,44335000
United States *,56,   Administrative and support and waste management and remediation services,Thousands of dollars,50805000,48009000,54055000,56622000,64532000,65677000,78061000,84720000,96817000,97959000,111385000,115222000,113788000,121649000,122683000,122837000,124688000,129651000,130172000,137006000,149885000,156409000,170147000,178329000
United States *,561,    Administrative and support services,Thousands of dollars,43099000,40221000,44767000,46850000,53089000,53027000,64375000,72496000,84333000,88661000,99128000,102695000,99426000,104496000,106553000,107296000,109156000,112689000,112160000,119546000,129832000,135362000,148554000,154598000
United States *,562,    Waste management and remediation services,Thousands of dollars,7706000,7788000,9289000,9771000,11444000,12650000,13686000,12224000,12484000,9297000,12257000,12527000,14361000,17153000,16130000,15541000,15532000,16962000,18013000,17460000,20053000,21047000,21593000,23730000
United States *,"61, 62","  Educational services, health care, and social assistance",Thousands of dollars,102805000,100886000,108562000,115886000,127418000,132739000,141147000,152173000,151405000,161970000,162959000,200867000,232755000,244923000,252967000,252691000,253593000,256829000,270373000,287415000,290408000,291323000,303235000,305652000
United States *,61,   Educational services,Thousands of dollars,14583000,11973000,14295000,16526000,18150000,13485000,17880000,22157000,21887000,23906000,24325000,31545000,40742000,45699000,45665000,44856000,44250000,43224000,44686000,46838000,47604000,49253000,51408000,31279000
United States *,62,   Health care and social assistance,Thousands of dollars,88221000,88914000,94267000,99360000,109268000,119254000,123266000,130016000,129518000,138064000,138634000,169322000,192012000,199224000,207302000,207835000,209343000,213605000,225687000,240576000,242804000,242070000,251826000,274373000
United States *,621,    Ambulatory health care services,Thousands of dollars,56812000,56499000,60039000,64036000,71288000,77215000,77792000,80442000,84300000,88879000,88949000,106904000,118069000,125310000,131699000,131026000,132908000,134277000,140973000,154414000,157796000,155635000,162466000,187118000
United States *,622,    Hospitals,Thousands of dollars,21283000,21330000,22439000,22613000,23683000,27424000,29303000,33538000,29434000,31800000,32738000,43154000,53935000,55334000,57704000,59599000,59011000,61769000,66425000,67765000,67065000,68424000,70463000,69593000
United States *,623,    Nursing and residential care facilities,Thousands of dollars,3252000,3424000,3530000,3375000,3524000,3997000,4160000,4477000,4018000,3866000,3607000,5358000,7171000,6830000,7319000,7741000,7664000,8022000,8421000,8300000,8162000,8235000,8316000,9456000
United States *,624,    Social assistance,Thousands of dollars,6875000,7661000,8259000,9336000,10773000,10617000,12011000,11559000,11766000,13519000,13341000,13906000,12836000,11750000,10581000,9469000,9760000,9536000,9867000,10097000,9781000,9776000,10581000,8206000
United States *,"71, 72","  Arts, entertainment, recreation, accommodation, and food services",Thousands of dollars,86323000,85525000,96108000,108990000,101198000,114542000,117226000,125013000,128902000,138274000,137061000,135595000,139042000,152040000,162586000,174216000,182179000,190275000,208698000,218420000,224683000,230113000,245760000,188301000
United States *,71,"   Arts, entertainment, and recreation",Thousands of dollars,31471000,29365000,32188000,34639000,29342000,32532000,36479000,39181000,41341000,43959000,45409000,47202000,50800000,57480000,61210000,68241000,70089000,73958000,73209000,78851000,81901000,86454000,91622000,47730000
United States *,711-712,"    Performing arts, spectator sports, museums, and related activities",Thousands of dollars,14446000,15903000,17168000,19104000,19662000,22767000,25915000,27073000,28252000,30760000,29998000,33780000,37656000,40309000,44082000,50239000,50827000,55091000,52698000,57577000,61481000,65992000,68864000,30878000
United States *,713,"    Amusement, gambling, and recreation industries",Thousands of dollars,17026000,13462000,15020000,15535000,9681000,9765000,10565000,12108000,13090000,13200000,15411000,13422000,13144000,17171000,17129000,18002000,19262000,18867000,20511000,21274000,20421000,20462000,22758000,16852000
United States *,72,   Accommodation and food services,Thousands of dollars,54852000,56160000,63920000,74351000,71856000,82010000,80747000,85832000,87561000,94315000,91652000,88393000,88242000,94560000,101376000,105975000,112090000,116317000,135488000,139569000,142782000,143658000,154138000,140571000
United States *,721,    Accommodation,Thousands of dollars,22249000,22181000,25248000,29946000,26511000,29819000,29242000,32792000,35320000,38759000,41774000,37944000,28236000,30867000,36354000,38846000,43120000,43965000,53429000,52300000,54358000,55932000,59293000,25492000
United States *,722,    Food services and drinking places,Thousands of dollars,32603000,33979000,38672000,44406000,45345000,52191000,51505000,53040000,52240000,55556000,49878000,50449000,60006000,63694000,65022000,67129000,68970000,72352000,82059000,87269000,88424000,87726000,94845000,115079000
United States *,81,  Other services (except government and government enterprises),Thousands of dollars,78651000,84548000,89495000,95296000,75842000,83032000,74200000,76836000,85616000,89535000,82173000,72668000,73703000,78736000,75943000,78749000,78923000,83515000,83937000,82889000,84135000,88462000,91750000,87754000
United States *,..., Government and government enterprises,Thousands of dollars,269651000,274446000,283553000,291167000,293460000,303733000,312253000,324798000,343882000,365320000,386150000,408806000,426696000,437066000,457756000,478203000,488723000,505594000,517651000,522709000,535407000,556807000,573650000,588889000
United States *,...,  Federal civilian,Thousands of dollars,60477000,63303000,65997000,67766000,67451000,73247000,75411000,76543000,76264000,81072000,85350000,88682000,91118000,91865000,92330000,94252000,95281000,102237000,108551000,112340000,119505000,124294000,128023000,135384000
United States *,...,  Military,Thousands of dollars,100402000,99658000,99358000,100672000,99795000,100380000,103469000,108789000,115209000,122087000,129593000,138289000,143470000,149474000,156314000,159606000,160535000,160905000,159699000,156947000,157338000,160010000,162690000,167505000
United States *,...,  State and local,Thousands of dollars,108772000,111485000,118198000,122729000,126214000,130106000,133373000,139465000,152409000,162160000,171207000,181835000,192108000,195727000,209112000,224345000,232907000,242452000,249400000,253422000,258563000,272504000,282937000,286000000
United States *,"11, 21",Natural resources and mining,Thousands of dollars,130097000,111065000,113920000,142669000,153430000,131297000,175704000,218377000,261528000,281060000,324136000,382923000,269721000,309318000,377120000,359517000,416694000,413585000,257293000,218880000,279103000,312161000,280149000,223229000
United States *,"42, 44-45",Trade,Thousands of dollars,273111000,298719000,301799000,311303000,308906000,316246000,342962000,369665000,408025000,434079000,438571000,446898000,457887000,502455000,506387000,555687000,591223000,607816000,653462000,654582000,651195000,672713000,701750000,785118000
United States *,"22, 48-49",Transportation and utilities,Thousands of dollars,172944000,169778000,178902000,177741000,185950000,166516000,186492000,210544000,218854000,263989000,249913000,267560000,273012000,317632000,324702000,322633000,332577000,356771000,374106000,374019000,385758000,396830000,410835000,352872000
United States *,"31-33, 51",Manufacturing and information,Thousands of dollars,746841000,765892000,805046000,771164000,754342000,848238000,913004000,1013850000,1089780000,1162861000,1237288000,1246609000,1216887000,1338974000,1370758000,1384934000,1479807000,1487826000,1573509000,1590286000,1654351000,1767346000,1820186000,1813907000
United States *,...,Private goods-producing industries 2/,Thousands of dollars,789575000,786822000,823753000,875526000,851315000,861922000,982360000,1115929000,1255323000,1356875000,1429872000,1395692000,1250375000,1361060000,1461185000,1480172000,1591235000,1617174000,1524749000,1476349000,1606784000,1733317000,1724600000,1706216000
United States *,...,Private services-providing industries 3/,Thousands of dollars,2227305000,2322744000,2485556000,2566906000,2721829000,2901453000,3042972000,3225449000,3480745000,3656559000,3786588000,3899494000,4065331000,4310603000,4403054000,4642158000,4790655000,4985519000,5236127000,5469069000,5594245000,5868807000,6155483000,6245289000
United States *,...,"All industry total, overseas activity",Thousands of dollars,55166000,54181000,53500000,53872000,53261000,53548000,55067000,57497000,60156000,63266000,66598000,71294000,76265000,80469000,85898000,88296000,88759000,88953000,87547000,82558000,82505000,91246000,93991000,96911000
United States *,...,"Government and government enterprises, overseas activity",Thousands of dollars,55166000,54181000,53500000,53872000,53261000,53548000,55067000,57497000,60156000,63266000,66598000,71294000,76265000,80469000,85898000,88296000,88759000,88953000,87547000,82558000,82505000,91246000,93991000,96911000
United States *,...,"Federal civilian, overseas activity",Thousands of dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States *,...,"Military, overseas activity",Thousands of dollars,55166000,54181000,53500000,53872000,53261000,53548000,55067000,57497000,60156000,63266000,66598000,71294000,76265000,80469000,85898000,88296000,88759000,88953000,87547000,82558000,82505000,91246000,93991000,96911000
Alabama,...,All industry total,Thousands of dollars,37247871,39368055,41513658,42583368,43348584,45807070,49100590,57547042,63136982,65253303,67296649,66180247,65444473,69842591,73907390,77608112,80917965,79561954,80669851,82073865,85542583,88794676,90113804,90732519
Alabama,..., Private industries,Thousands of dollars,33214684,35226026,37169561,38239333,39242972,41145529,44215975,52357010,57506869,59285136,60611371,59549516,58188726,62846854,66542947,69906832,72908630,71375586,72205224,73478297,76491873,79446618,80586038,81151053
Alabama,11,"  Agriculture, forestry, fishing and hunting",Thousands of dollars,1384789,1473986,1605173,1412334,(D),1354340,1899803,2505552,2345012,1712494,1483934,1389737,1455988,1407858,1072408,1224978,2545884,1957567,2021918,1514281,1898436,1857124,1533301,1192481
Alabama,111-112,   Farms,Thousands of dollars,1255642,1343600,1480755,1288325,1597716,1246027,1776413,2325032,2146844,1503692,1313322,1265625,1316475,1244197,928539,1073471,2409498,1809521,1863618,1347074,1740934,1679059,1366082,1038601
Alabama,113-115,"   Forestry, fishing, and related activities",Thousands of dollars,129147,130386,124418,124009,(D),108313,123390,180520,198168,208802,170612,124112,139513,163661,143869,151507,136386,148045,158300,167207,157502,178065,167219,153880
Alabama,21,"  Mining, quarrying, and oil and gas extraction",Thousands of dollars,557890,600854,513112,610236,737810,601339,958882,1282959,1943159,2040841,2566286,2858656,2005619,2146777,1960384,1896888,1676531,1257125,691171,768484,1357915,1269548,1078671,1053127
Alabama,211,   Oil and gas extraction,Thousands of dollars,166716,116390,132456,258200,366139,322890,592114,781161,1299631,1401860,1668334,1812343,813460,622167,588716,470968,562890,555972,298946,276056,328342,257331,146896,33655
Alabama,212,   Mining (except oil and gas),Thousands of dollars,329147,421068,348574,321359,331895,255391,345142,476394,609919,581201,839285,985521,1159543,1484748,1329151,1381601,1077305,667262,383434,497357,1031392,1007337,930123,1020378
Alabama,213,   Support activities for mining,Thousands of dollars,62027,63396,32082,30678,39776,23058,21626,25404,33609,57781,58667,60792,32615,39862,42517,44319,36335,33890,8791,-4929,-1820,4879,1652,-906
Alabama,22,  Utilities,Thousands of dollars,1687671,1540610,1716481,1643223,1512827,1393153,1463967,1640669,1540956,1875465,1961064,2018856,2342015,2831814,2872661,2811812,2732558,2929585,2877176,2954704,2899099,2770248,3037021,2962495
Alabama,23,  Construction,Thousands of dollars,1393443,1866281,1981994,2133012,2101567,2203400,2358080,2505406,3052993,3423827,3697410,2869648,2592856,2027920,2159715,2358404,2304592,2149589,2234776,2571932,2838174,3030320,3500387,4208713
Alabama,31-33,  Manufacturing,Thousands of dollars,6301408,6442002,6873199,7028158,6720695,7046044,7579698,11545417,12367914,13080859,12358533,12522566,10452796,12577637,16161326,16275610,17313636,16009623,15596075,16118630,17226540,18352716,17227777,16503276
Alabama,"321,327-339",   Durable goods manufacturing,Thousands of dollars,2896450,3222727,3823013,3275454,2981752,3405358,3566687,5966151,7164413,7521447,6758929,7689433,4239375,6622684,7958972,8948600,9673076,8847305,9334402,9674228,10524849,11146906,10793899,10566090
Alabama,321,    Wood product manufacturing,Thousands of dollars,344546,262581,349951,103258,159736,136018,211693,418511,451019,440669,152584,33512,169821,346275,400770,302883,569851,438796,489297,601963,597498,658593,762718,933546
