Country,State,Year,Population,All GHG,CH4,CO2,N2O,F-Gas
US,HI,2005,1292729,50.338159831,46.318141122,387.711094843,29.259976434,8.2371403
US,HI,2006,1309731,51.041827345,31.462341417,413.003375998,26.976931672,8.986350829
US,HI,2007,1315675,52.397067849,31.563026312,424.206804085,28.875739823,9.64141165
US,HI,2008,1332213,42.930463184,32.0073311,628.808407982,31.50589778,10.055432993
US,HI,2009,1346717,41.335006298,31.320517783,631.785850795,30.696548663,9.985499539
US,HI,2010,1364004,41.57566788,31.476458738,629.833354671,33.091530436,10.359724205
US,HI,2011,1379562,43.009787532,33.083766587,661.725971305,32.319586716,10.775995105
US,HI,2012,1395199,42.081629996,33.468246038,677.569888734,30.935921248,10.747552498
US,HI,2013,1408822,40.47570236,34.417919577,683.120970341,32.488244925,11.201161079
US,HI,2014,1415335,40.056903738,33.476180926,694.516990625,31.972516776,11.740346327
US,HI,2015,1422999,40.569149712,32.606170177,717.234779072,33.088110777,12.337924819
US,HI,2016,1428885,41.118665672,33.336778345,686.648536665,31.610636192,13.028420716
US,HI,2017,1425763,41.282804458,31.780210395,700.315590767,29.700755275,13.593684554
US,HI,2018,1423102,42.331418346,33.020418994,714.881450989,29.050316607,14.19185575
US,ID,1997,1228520,33.212166877,32.22700818,356.900296483,19.035148659,0
US,ID,1998,1252330,33.792459439,33.040427309,321.542482658,18.546021104,0
US,ID,1999,1275674,35.129519709,34.430895354,333.666556894,19.046866043,0
US,ID,2000,1299430,34.912300185,35.531763051,325.941547254,18.398970066,0
US,ID,2001,1319962,35.490785398,36.324154651,317.035588701,17.83821086,0
US,ID,2002,1340372,34.063679247,35.818309339,323.480325138,18.694301488,0
US,ID,2003,1363380,33.630702434,36.231770801,327.426463616,18.806078979,0
US,ID,2004,1391802,36.31305745,35.721839588,313.794120223,17.559286298,0
US,ID,2005,1428241,36.573738999,36.631939255,308.253818752,17.323948982,0
US,ID,2006,1468669,36.006681887,35.45896399,301.740245405,16.923630122,0
US,ID,2007,1505105,38.298024518,35.046710817,315.715691412,16.583121737,0
US,ID,2008,1534320,36.929845037,34.365658133,113.175790476,12.856143843,0
US,ID,2009,1554439,36.618558208,33.850388967,103.224618714,12.666516881,0
US,ID,2010,1570819,39.20775974,34.411366709,98.303076314,11.803264005,0
US,ID,2011,1584272,38.11388766,34.149887269,102.754002574,13.486853906,0
US,ID,2012,1595910,37.172448479,33.923453843,110.091597606,13.161746763,0
US,ID,2013,1612053,43.255198375,28.364122093,108.867258226,12.744910462,0
US,ID,2014,1632248,42.128387228,29.462045406,110.81783594,14.919706585,0
US,ID,2015,1652495,44.958987795,29.315585061,109.319080121,14.412614562,0
US,ID,2016,1684036,44.791349238,30.425397205,100.44413116,14.791079411,0
US,ID,2017,1719745,45.534286164,30.995033662,104.207872871,15.917326541,0
US,ID,2018,1752074,47.12088477,31.616635939,110.835683061,15.504378254,0
US,IL,1997,12185715,507.556651362,45.439770253,111.386823463,3.84169064,0
US,IL,1998,12271847,483.355096203,44.962580656,116.364789901,3.811177304,0
US,IL,1999,12359020,499.248241339,45.099142159,111.602691962,3.908665251,0
US,IL,2000,12434161,506.668860174,45.009922572,116.380952681,3.897347433,0
US,IL,2001,12488445,482.909050745,45.382755774,126.886966061,3.877401818,0
US,IL,2002,12525556,486.005901686,44.237858683,146.611116492,3.881035546,0
US,IL,2003,12556006,493.535695382,43.579137055,137.08543453,4.016706016,0
US,IL,2004,12589773,508.87294206,29.363791708,146.769735239,3.456537309,0
US,IL,2005,12609903,521.688050509,31.133619725,150.170913014,3.316474626,0
US,IL,2006,12643955,505.552815616,34.769369081,211.857783198,3.621560436,0
US,IL,2007,12695866,520.282749252,34.711374538,222.702914792,3.884805683,0
US,IL,2008,12747038,521.236623726,36.082042645,219.142548344,3.696195662,0
US,IL,2009,12796778,488.29907263,35.14909909,222.343023562,3.378686875,0
US,IL,2010,12840545,502.54475204,35.042795519,223.175154696,3.43996975,0
US,IL,2011,12867783,495.042576882,35.504901119,227.789835376,3.688552014,0
US,IL,2012,12883029,466.264085614,35.838028145,228.814029079,3.367473522,0
US,IL,2013,12895778,504.358164425,35.440772607,231.866892783,3.058815342,0
US,IL,2014,12885092,513.954899499,36.411274678,233.139762791,2.860221881,0
US,IL,2015,12859585,479.570520129,34.393656955,236.067950512,2.755428509,0
US,IL,2016,12821709,454.060340285,32.366402195,230.06659254,2.717345634,0
US,IL,2017,12779893,449.083241288,33.57158226,226.584759762,2.567433484,0
US,IL,2018,12724685,464.602928479,32.830343776,236.346733971,2.626737787,0
US,IN,1997,5955267,483.053617773,4.375231233,295.200634047,10.822445446,0
